address,lat,lon
"Архангельская область г. Архангельск, ул. Капитана Хромцова, 5 корп.1",64.6978146764,40.5081260204
"Астраханская область г. Астрахань, ул. Победы, 52",46.3546959616,48.058801889399994
"Астраханская область г. Астрахань, ул. Шелгунова, 12",46.349447446899994,48.0436983705
"Астраханская область г. Астрахань, ул. Студенческая, 4а",46.345092773400005,48.069416046099995
"Астраханская область г. Астрахань, ул. Куликова, 42",46.355003266400004,48.0737739801
"Астраханская область г. Астрахань, ул. 1-я Перевозная, 108А",46.36335352060001,48.063476979700006
"Астраханская область г. Астрахань, ул. Авиационная, 14А",46.3750483947,48.0724060535
"Астраханская область г. Астрахань, ул. Косм. В. Комарова, 154А",46.355673407,48.1235343218
"Астраханская область г. Астрахань, ул. Косм. В. Комарова, 148",46.355795586499994,48.1220644712
"Астраханская область г. Астрахань, ул. Зеленая, 70 А",46.362233687,48.0695950985
"Астраханская область г. Астрахань, ул. Ботвина, 32",46.363908801499996,48.062001764799994
"Астраханская область г. Астрахань, ул. Боевая, 59б",46.332102474399996,48.0251562595
"Астраханская область г. Астрахань, ул. Боевая, 59а",46.3315320541,48.0242389441
"Астраханская область г. Астрахань, ул. Дж. Рида, 39",46.3357582086,48.0586516857
"Астраханская область г. Астрахань, ул. Краснодарская, 43 корп.1",46.3234658968,48.0365931988
"Астраханская область г. Астрахань, ул. Боевая, 65 а",46.3298911366,48.0232787132
"Астраханская область г. Астрахань, ул. Звездная, 15 а",46.3299652197,48.0539417267
"Астраханская область г. Астрахань, ул. Безжонова, 103",46.301672992,47.991596460299995
"Астраханская область г. Астрахань, ул. Адм. Нахимова, 58",46.3068982996,47.9894721508
"Астраханская область г. Астрахань, ул. Химиков, 5",46.4104693707,47.981980741
"Астраханская область г. Астрахань, ул. Дальняя, 91",46.3755757987,48.1057298183
"Астраханская область г. Астрахань, пер. Депутатский, д. 8/1",46.3483199225,47.9696559906
"Астраханская область г. Астрахань, ул. 11-й Красной Армии, 3",46.3592053938,48.077067732799996
"Астраханская область г. Астрахань, ул. Молодой Гвардии, 3",46.350537920600004,48.0407881737
"Астраханская область г. Астрахань, пер. Ленинградский, 82а",46.3656023734,47.9852181673
"Астраханская область г. Астрахань, ул. Александрова, 3",46.3182810727,47.9936242104
"Астраханская область г. Астрахань, ул. Ю. Селенского, 15А",46.368004749200004,48.0459541082
"Астраханская область г. Астрахань, ул. Анатолия Сергеева,13",46.3505601371,48.02482903
"Астраханская область г. Астрахань, ул. Костина, 2",46.345487122899996,48.0183702707
